Identifiant GPSO;Identifiant Aménageur;Nom de la station;Commune;Code INSEE;Localisation;Complément de Localisation;Type de borne;Type de prise;Emplacement;Nombre de places;Nombre de place PMR;Etat;Observation sur l'état;Type de recharge;Aménageur;Opérateur;Nombre de points de charge;Accès;Année de mise en service;geo_shape;Géolocalisation
IRVE135;;RUE PAUL DEMANGE - MEUDON;MEUDON;92048;RUE PAUL DEMANGE;;IES;Type 2 et domestique;Voirie;4;;En service;;Accélérée - 22kW;SIGEIF;Izivia;4;Gratuit;2024;"{""coordinates"": [2.22869251217751, 48.78381355399733], ""type"": ""Point""}";48.78381355399733, 2.22869251217751
IRVE3;9;705 AVENUE ROGER SALENGRO - CHAVILLE;CHAVILLE;92022;705  AVENUE ROGER SALENGRO;En face du 710;Nexans;2S et 2F;Voirie;2;;En service;;Accélérée - 22kW;SIGEIF;Izivia;2;Gratuit;2020;"{""coordinates"": [2.193322719155757, 48.814914038341435], ""type"": ""Point""}";48.814914038341435, 2.193322719155757
IRVE61;;46 RUE JOSEPH FRANTZ - ISSY-LES-MOULINEAUX;ISSY-LES-MOULINEAUX;92040;46  RUE JOSEPH FRANTZ;;Citadine;Type 2 et domestique;Voirie;6;;En service;;Accélérée - 22kW;Metropolis;Metropolis;6;Gratuit;2021;"{""coordinates"": [2.266170345709625, 48.831357952890585], ""type"": ""Point""}";48.831357952890585, 2.266170345709625
IRVE62;;18 BOULEVARD GARIBALDI - ISSY-LES-MOULINEAUX;ISSY-LES-MOULINEAUX;92040;18  BOULEVARD GARIBALDI;;Proximité;Type 2 et domestique;Voirie;6;;En service;;Normale - 7kW;Metropolis;Metropolis;6;Gratuit;2021;"{""coordinates"": [2.261288498428467, 48.82160335871417], ""type"": ""Point""}";48.82160335871417, 2.261288498428467
IRVE10;145;9 RUE RENE SAHORS - VANVES;VANVES;92075;9  RUE RENE SAHORS;Square du Carrefour de l'Insurrection;Nexans;2S et 2F;Voirie;2;;En service;;Accélérée - 22kW;SIGEIF;Izivia;2;Gratuit;2020;"{""coordinates"": [2.291558392447094, 48.82101928715079], ""type"": ""Point""}";48.82101928715079, 2.291558392447094
IRVE26;49;2 AVENUE DE LA CRISTALLERIE - SEVRES;SEVRES;92072;2  AVENUE DE LA CRISTALLERIE;;IES;Combo, CHAdeMO et domestique;Voirie;2;;En service;;Rapide - 24kW DC;SIGEIF;Izivia;2;Gratuit;2021;"{""coordinates"": [2.22301757285667, 48.82678836770143], ""type"": ""Point""}";48.82678836770143, 2.22301757285667
IRVE64;259;27 CHEMIN DESVALLIERES - VILLE-D'AVRAY;VILLE D'AVRAY;92077;27  CHEMIN DESVALLIERES;;Schneider - Evlink;Type 2 et domestique;Voirie;2;;En service;;Accélérée - 22kW;SIGEIF;Alizé;2;Gratuit;2020;"{""coordinates"": [2.19468476139196, 48.82204059043827], ""type"": ""Point""}";48.82204059043827, 2.19468476139196
IRVE65;273;5 RUE DE LA RONCE - VILLE-D'AVRAY;VILLE D'AVRAY;92077;5  RUE DE LA RONCE;;Schneider - Evlink;Type 2 et domestique;Voirie;2;;En service;;Accélérée - 22kW;SIGEIF;Izivia;2;Gratuit;2020;"{""coordinates"": [2.188121777683062, 48.823319186253556], ""type"": ""Point""}";48.823319186253556, 2.188121777683062
IRVE92;;93 RUE SADI CARNOT - VANVES;VANVES;92075;93  RUE SADI CARNOT;;Nexans;Type 2 et domestique;Voirie;2;;En service;;Accélérée - 22kW;SIGEIF;Izivia;2;Gratuit;2023;"{""coordinates"": [2.294855530249504, 48.82463719991306], ""type"": ""Point""}";48.82463719991306, 2.294855530249504
IRVE25;31;PARKING 19 AVENUE GENERAL DE GAULLE - MEUDON;MEUDON;92048;19  AVENUE DU GENERAL DE GAULLE;;Ancienne borne Autolib;Type 2 et domestique;Voirie;6;;En service;;Normale - 7kW;SIGEIF;Izivia;6;Gratuit;2020;"{""coordinates"": [2.2279042013253925, 48.78793127202457], ""type"": ""Point""}";48.78793127202457, 2.2279042013253925
IRVE82;;PARKING DU COURS DE L'ILE SEGUIN  - BOULOGNE-BILLANCOURT;BOULOGNE-BILLANCOURT;92012;COURS DE L'ILE SEGUIN;Parking du Cours de l'Île Seguin;;;Parking en ouvrage;6;;En service;;;;;;;;"{""coordinates"": [2.232676286350383, 48.826417578347424], ""type"": ""Point""}";48.826417578347424, 2.232676286350383
IRVE83;;PARKING DE L'ILE SAINT GERMAIN - QUAI STALINGRAD - ISSY-LES-MOULINEAUX;ISSY-LES-MOULINEAUX;92040;169  QUAI DE STALINGRAD;Parking de l'Île Saint Germain;;;Parking en ouvrage;8;;En service;;;;;;;;"{""coordinates"": [2.2588280706749404, 48.82514921065836], ""type"": ""Point""}";48.82514921065836, 2.2588280706749404
IRVE24;30;PARKING TERRE NEUVE - MEUDON;MEUDON;92048;RUE TERRE NEUVE;Parking Terre Neuve;Ancienne borne Autolib;Type 2 et domestique;Voirie;6;;En service;;Normale - 7kW;SIGEIF;Izivia;6;Gratuit;2020;"{""coordinates"": [2.235351174140887, 48.80790387041135], ""type"": ""Point""}";48.80790387041135, 2.235351174140887
IRVE2;8;59 BOULEVARD JEAN JAURES - BOULOGNE-BILLANCOURT;BOULOGNE-BILLANCOURT;92012;BOULEVARD JEAN JAURES;En face du 59;Nexans;2S et 2F;Voirie;4;;En service;;Accélérée - 22kW;SIGEIF;Izivia;4;Gratuit;2020;"{""coordinates"": [2.239832516368891, 48.83998538659507], ""type"": ""Point""}";48.83998538659507, 2.239832516368891
IRVE23;45;RUE DE PARIS - MEUDON;MEUDON;92048;RUE DE PARIS;;IES;Type 2 et domestique;Voirie;2;;En service;;Rapide - 24kW DC;SIGEIF;Izivia;2;Gratuit;2021;"{""coordinates"": [2.247865751281005, 48.81687914002299], ""type"": ""Point""}";48.81687914002299, 2.247865751281005
IRVE5;11;33 RUE CAMILLE DESMOULINS - ISSY-LES-MOULINEAUX;ISSY-LES-MOULINEAUX;92040;33  RUE CAMILLE DESMOULINS;;Nexans;2S et 2F;Voirie;2;;En service;;Accélérée - 22kW;SIGEIF;Izivia;2;Gratuit;2020;"{""coordinates"": [2.264205538161462, 48.82933989696164], ""type"": ""Point""}";48.82933989696164, 2.264205538161462
IRVE7;15;RUE MARCEL ALLEGOT - MEUDON;MEUDON;92048;RUE MARCEL ALLEGOT;Parking en face du 12;Nexans;2S et 2F;Voirie;2;;En service;;Accélérée - 22kW;SIGEIF;Izivia;2;Gratuit;2020;"{""coordinates"": [2.227597571763547, 48.821287134518116], ""type"": ""Point""}";48.821287134518116, 2.227597571763547
IRVE9;16;123 GRANDE RUE - SEVRES;SEVRES;92072;123  GRANDE RUE;;Nexans;2S et 2F;Voirie;2;;En service;;Accélérée - 22kW;SIGEIF;Izivia;2;Gratuit;2020;"{""coordinates"": [2.2052048981503667, 48.821735288103206], ""type"": ""Point""}";48.821735288103206, 2.2052048981503667
IRVE27;40;RUE LARMEROUX - VANVES;VANVES;92075;RUE LARMEROUX;;Ancienne borne Autolib;Type 2 et domestique;Voirie;5;;En service;;Normale - 7kW;SIGEIF;Izivia;5;Gratuit;2020;"{""coordinates"": [2.2807687543518393, 48.81685732173375], ""type"": ""Point""}";48.81685732173375, 2.2807687543518393
IRVE31;46;10 BOULEVARD JEAN JAURES - BOULOGNE-BILLANCOURT;BOULOGNE-BILLANCOURT;92012;10  BOULEVARD JEAN JAURES;;IES;Combo, CHAdeMO et domestique;Voirie;2;;En service;;Rapide - 24kW DC;SIGEIF;Izivia;2;Gratuit;2021;"{""coordinates"": [2.237265759397495, 48.844778426767746], ""type"": ""Point""}";48.844778426767746, 2.237265759397495
IRVE43;97;33 ROUTE DU PAVE DES GARDES - CHAVILLE;CHAVILLE;92022;33  RUE DU PAVE DES GARDES;;Lafon Pulse;Type 2 et domestique;Voirie;2;;En service;;Accélérée - 22kW;SIGEIF;Izivia;2;Gratuit;2021;"{""coordinates"": [2.1853340958641496, 48.80562302306949], ""type"": ""Point""}";48.80562302306949, 2.1853340958641496
IRVE45;193;AVENUE DU MARECHAL DE LATTRE DE TASSIGNY - MEUDON;MEUDON;92048;AVENUE DU MARECHAL DE LATTRE DE TASSIGNY;A préciser;Lafon Pulse;Type 2 et domestique;Voirie;4;;En service;;Normale - 7kW;SIGEIF;Izivia;4;Gratuit;2020;"{""coordinates"": [2.227725727300451, 48.7850049928589], ""type"": ""Point""}";48.7850049928589, 2.227725727300451
IRVE50;80;44 RUE CHAMPS CHARDON - ISSY-LES-MOULINEAUX;ISSY-LES-MOULINEAUX;92040;44  RUE DE CHAMP CHARDON;;Ancienne borne Autolib;Type 2 et domestique;Voirie;4;;En service;;Normale - 7kW;SIGEIF;Izivia;4;Gratuit;2021;"{""coordinates"": [2.25221346860288, 48.82195094767298], ""type"": ""Point""}";48.82195094767298, 2.25221346860288
IRVE51;74;22 AVENUE JEAN JAURES - ISSY-LES-MOULINEAUX;ISSY-LES-MOULINEAUX;92040;22  AVENUE JEAN JAURES;;Ancienne borne Autolib;Type 2 et domestique;Voirie;6;;En service;;Normale - 7kW;SIGEIF;Izivia;6;Gratuit;2021;"{""coordinates"": [2.275594156693002, 48.82299349298679], ""type"": ""Point""}";48.82299349298679, 2.275594156693002
